"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",29,23,17,25,1,"E2023"
"LDLC ASVEL VILLEURBANNE",18,13,24,18,1,"E2023"
"FC BARCELONA",22,18,29,22,2,"E2023"
"ANADOLU EFES ISTANBUL",19,15,30,10,2,"E2023"
"FC BAYERN MUNICH",19,17,25,19,3,"E2023"
"ALBA BERLIN",17,27,7,17,3,"E2023"
"MACCABI PLAYTIKA TEL AVIV",27,28,19,22,4,"E2023"
"PARTIZAN MOZZART BET BELGRADE",16,27,15,23,4,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",23,19,23,14,5,"E2023"
"ZALGIRIS KAUNAS",15,22,21,24,5,"E2023"
"FENERBAHCE BEKO ISTANBUL",19,19,24,14,9,6,"E2023"
"EA7 EMPORIO ARMANI MILAN",23,12,19,22,6,6,"E2023"
"PANATHINAIKOS ATHENS",22,21,16,15,4,7,"E2023"
"OLYMPIACOS PIRAEUS",23,13,16,22,14,7,"E2023"
"BASKONIA VITORIA-GASTEIZ",23,24,20,10,8,"E2023"
"REAL MADRID",19,24,19,17,8,"E2023"
"VALENCIA BASKET",17,22,14,17,9,"E2023"
"AS MONACO",20,18,13,14,9,"E2023"
"ALBA BERLIN",21,26,14,25,10,"E2023"
"BASKONIA VITORIA-GASTEIZ",25,26,25,15,10,"E2023"
"ANADOLU EFES ISTANBUL",24,17,19,20,11,"E2023"
"REAL MADRID",26,29,25,23,11,"E2023"
"EA7 EMPORIO ARMANI MILAN",32,20,20,18,12,"E2023"
"MACCABI PLAYTIKA TEL AVIV",25,25,25,23,12,"E2023"
"PANATHINAIKOS ATHENS",23,14,17,24,13,"E2023"
"FC BAYERN MUNICH",11,19,18,23,13,"E2023"
"LDLC ASVEL VILLEURBANNE",13,16,19,14,14,"E2023"
"PARTIZAN MOZZART BET BELGRADE",17,26,29,16,14,"E2023"
"AS MONACO",15,18,15,11,15,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",23,25,22,13,15,"E2023"
"OLYMPIACOS PIRAEUS",16,18,20,14,16,"E2023"
"FC BARCELONA",23,17,16,21,16,"E2023"
"VALENCIA BASKET",22,17,19,19,17,"E2023"
"FENERBAHCE BEKO ISTANBUL",9,24,20,21,17,"E2023"
"ZALGIRIS KAUNAS",19,16,15,29,18,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",21,17,18,18,18,"E2023"
"ANADOLU EFES ISTANBUL",24,19,27,19,19,"E2023"
"LDLC ASVEL VILLEURBANNE",24,11,21,28,19,"E2023"
"EA7 EMPORIO ARMANI MILAN",19,12,13,21,20,"E2023"
"OLYMPIACOS PIRAEUS",17,15,9,12,20,"E2023"
"FENERBAHCE BEKO ISTANBUL",27,16,24,16,21,"E2023"
"PANATHINAIKOS ATHENS",9,19,17,24,21,"E2023"
"PARTIZAN MOZZART BET BELGRADE",16,18,26,23,22,"E2023"
"FC BARCELONA",23,21,25,23,22,"E2023"
"REAL MADRID",25,28,19,21,23,"E2023"
"ZALGIRIS KAUNAS",19,24,19,17,23,"E2023"
"BASKONIA VITORIA-GASTEIZ",22,20,20,6,24,"E2023"
"FC BAYERN MUNICH",20,21,16,19,24,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",23,21,19,13,25,"E2023"
"AS MONACO",14,24,26,18,25,"E2023"
"VALENCIA BASKET",18,15,17,25,26,"E2023"
"MACCABI PLAYTIKA TEL AVIV",17,12,15,22,26,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",27,17,23,20,27,"E2023"
"ALBA BERLIN",11,15,25,25,27,"E2023"
"FENERBAHCE BEKO ISTANBUL",16,26,30,29,28,"E2023"
"LDLC ASVEL VILLEURBANNE",28,27,15,16,28,"E2023"
"OLYMPIACOS PIRAEUS",28,21,10,26,13,29,"E2023"
"PARTIZAN MOZZART BET BELGRADE",21,22,26,16,9,29,"E2023"
"REAL MADRID",19,23,25,21,30,"E2023"
"EA7 EMPORIO ARMANI MILAN",25,17,19,10,30,"E2023"
"BASKONIA VITORIA-GASTEIZ",14,25,22,21,31,"E2023"
"ZALGIRIS KAUNAS",22,24,28,25,31,"E2023"
"ANADOLU EFES ISTANBUL",18,20,19,20,32,"E2023"
"VALENCIA BASKET",15,25,13,20,32,"E2023"
"AS MONACO",18,29,20,19,33,"E2023"
"ALBA BERLIN",16,24,16,19,33,"E2023"
"FC BARCELONA",27,16,27,28,34,"E2023"
