"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",29,52,69,94,1,"E2023"
"LDLC ASVEL VILLEURBANNE",18,31,55,73,1,"E2023"
"FC BARCELONA",22,40,69,91,2,"E2023"
"ANADOLU EFES ISTANBUL",19,34,64,74,2,"E2023"
"FC BAYERN MUNICH",19,36,61,80,3,"E2023"
"ALBA BERLIN",17,44,51,68,3,"E2023"
"MACCABI PLAYTIKA TEL AVIV",27,55,74,96,4,"E2023"
"PARTIZAN MOZZART BET BELGRADE",16,43,58,81,4,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",23,42,65,79,5,"E2023"
"ZALGIRIS KAUNAS",15,37,58,82,5,"E2023"
"FENERBAHCE BEKO ISTANBUL",19,38,62,76,85,6,"E2023"
"EA7 EMPORIO ARMANI MILAN",23,35,54,76,82,6,"E2023"
"PANATHINAIKOS ATHENS",22,43,59,74,78,7,"E2023"
"OLYMPIACOS PIRAEUS",23,36,52,74,88,7,"E2023"
"BASKONIA VITORIA-GASTEIZ",23,47,67,77,8,"E2023"
"REAL MADRID",19,43,62,79,8,"E2023"
"VALENCIA BASKET",17,39,53,70,9,"E2023"
"AS MONACO",20,38,51,65,9,"E2023"
"ALBA BERLIN",21,47,61,86,10,"E2023"
"BASKONIA VITORIA-GASTEIZ",25,51,76,91,10,"E2023"
"ANADOLU EFES ISTANBUL",24,41,60,80,11,"E2023"
"REAL MADRID",26,55,80,103,11,"E2023"
"EA7 EMPORIO ARMANI MILAN",32,52,72,90,12,"E2023"
"MACCABI PLAYTIKA TEL AVIV",25,50,75,98,12,"E2023"
"PANATHINAIKOS ATHENS",23,37,54,78,13,"E2023"
"FC BAYERN MUNICH",11,30,48,71,13,"E2023"
"LDLC ASVEL VILLEURBANNE",13,29,48,62,14,"E2023"
"PARTIZAN MOZZART BET BELGRADE",17,43,72,88,14,"E2023"
"AS MONACO",15,33,48,59,15,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",23,48,70,83,15,"E2023"
"OLYMPIACOS PIRAEUS",16,34,54,68,16,"E2023"
"FC BARCELONA",23,40,56,77,16,"E2023"
"VALENCIA BASKET",22,39,58,77,17,"E2023"
"FENERBAHCE BEKO ISTANBUL",9,33,53,74,17,"E2023"
"ZALGIRIS KAUNAS",19,35,50,79,18,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",21,38,56,74,18,"E2023"
"ANADOLU EFES ISTANBUL",24,43,70,89,19,"E2023"
"LDLC ASVEL VILLEURBANNE",24,35,56,84,19,"E2023"
"EA7 EMPORIO ARMANI MILAN",19,31,44,65,20,"E2023"
"OLYMPIACOS PIRAEUS",17,32,41,53,20,"E2023"
"FENERBAHCE BEKO ISTANBUL",27,43,67,83,21,"E2023"
"PANATHINAIKOS ATHENS",9,28,45,69,21,"E2023"
"PARTIZAN MOZZART BET BELGRADE",16,34,60,83,22,"E2023"
"FC BARCELONA",23,44,69,92,22,"E2023"
"REAL MADRID",25,53,72,93,23,"E2023"
"ZALGIRIS KAUNAS",19,43,62,79,23,"E2023"
"BASKONIA VITORIA-GASTEIZ",22,42,62,68,24,"E2023"
"FC BAYERN MUNICH",20,41,57,76,24,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",23,44,63,76,25,"E2023"
"AS MONACO",14,38,64,82,25,"E2023"
"VALENCIA BASKET",18,33,50,75,26,"E2023"
"MACCABI PLAYTIKA TEL AVIV",17,29,44,66,26,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",27,44,67,87,27,"E2023"
"ALBA BERLIN",11,26,51,76,27,"E2023"
"FENERBAHCE BEKO ISTANBUL",16,42,72,101,28,"E2023"
"LDLC ASVEL VILLEURBANNE",28,55,70,86,28,"E2023"
"OLYMPIACOS PIRAEUS",28,49,59,85,98,29,"E2023"
"PARTIZAN MOZZART BET BELGRADE",21,43,69,85,94,29,"E2023"
"REAL MADRID",19,42,67,88,30,"E2023"
"EA7 EMPORIO ARMANI MILAN",25,42,61,71,30,"E2023"
"BASKONIA VITORIA-GASTEIZ",14,39,61,82,31,"E2023"
"ZALGIRIS KAUNAS",22,46,74,99,31,"E2023"
"ANADOLU EFES ISTANBUL",18,38,57,77,32,"E2023"
"VALENCIA BASKET",15,40,53,73,32,"E2023"
"AS MONACO",18,47,67,86,33,"E2023"
"ALBA BERLIN",16,40,56,75,33,"E2023"
"FC BARCELONA",27,43,70,98,34,"E2023"
"FC BAYERN MUNICH",11,27,40,59,34,"E2023"
"PANATHINAIKOS ATHENS",15,24,49,72,81,35,"E2023"
"MACCABI PLAYTIKA TEL AVIV",20,39,57,72,86,35,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",26,44,62,85,36,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",15,33,55,79,36,"E2023"
"ALBA BERLIN",12,35,57,85,37,"E2023"
"EA7 EMPORIO ARMANI MILAN",18,37,61,82,37,"E2023"
"OLYMPIACOS PIRAEUS",17,33,61,75,38,"E2023"
"ANADOLU EFES ISTANBUL",14,25,43,57,38,"E2023"
"PARTIZAN MOZZART BET BELGRADE",22,42,53,88,39,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",13,42,65,86,39,"E2023"
"REAL MADRID",12,28,51,65,40,"E2023"
"FC BARCELONA",19,30,41,64,40,"E2023"
"AS MONACO",27,52,85,107,41,"E2023"
"MACCABI PLAYTIKA TEL AVIV",23,38,57,79,41,"E2023"
"LDLC ASVEL VILLEURBANNE",18,42,63,84,42,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",21,39,65,87,42,"E2023"
"FC BAYERN MUNICH",20,38,47,67,43,"E2023"
"FENERBAHCE BEKO ISTANBUL",19,41,55,76,43,"E2023"
"PANATHINAIKOS ATHENS",24,48,70,95,44,"E2023"
"BASKONIA VITORIA-GASTEIZ",22,43,66,81,44,"E2023"
"ZALGIRIS KAUNAS",12,30,53,72,45,"E2023"
