Team,TotalSeconds,total_Points,total_FGMade2,total_FGAtt2,total_FGMade3,total_FGAtt3,total_FTMade,total_FThrowsAtt,total_OReb,total_DReb,total_Reb,total_Assists,total_steals,total_turnovers,total_blocksfavour,total_blocksagainst,total_FoulsCommited,total_FoulsReceived,total_PIR,GameCode,SeasonCode,name_Team
RED,12000,94,16,37,17,34,11,13,17,23,40,19,10,10,2,3,21,14,105,1,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
ASV,12000,73,17,29,9,25,12,21,9,22,31,17,5,16,3,2,14,21,81,1,E2023,LDLC ASVEL VILLEURBANNE
BAR,12000,91,32,42,6,20,9,12,9,26,35,21,5,13,3,1,15,15,114,2,E2023,FC BARCELONA
IST,12000,74,22,40,9,27,3,6,9,16,25,24,9,10,1,3,15,15,81,2,E2023,ANADOLU EFES ISTANBUL
MUN,12000,80,23,36,9,31,7,10,20,29,49,12,5,16,3,3,21,17,88,3,E2023,FC BAYERN MUNICH
BER,12000,68,16,30,7,24,15,19,3,14,17,14,10,9,3,3,17,21,69,3,E2023,ALBA BERLIN
TEL,12000,96,27,43,9,26,15,20,15,19,34,31,11,12,2,2,19,18,121,4,E2023,MACCABI PLAYTIKA TEL AVIV
PAR,12000,81,26,39,5,17,14,18,7,19,26,18,7,16,2,2,18,19,88,4,E2023,PARTIZAN MOZZART BET BELGRADE
VIR,12000,79,23,39,8,25,9,11,10,22,32,21,8,14,1,3,18,19,90,5,E2023,VIRTUS SEGAFREDO BOLOGNA
ZAL,12000,82,18,39,11,19,13,18,8,22,30,11,6,15,3,1,19,17,80,5,E2023,ZALGIRIS KAUNAS
ULK,13500,85,18,34,14,31,7,11,4,23,27,15,5,12,1,3,23,16,74,6,E2023,FENERBAHCE BEKO ISTANBUL
MIL,13500,82,18,36,11,26,13,18,10,31,41,18,9,19,3,1,16,22,101,6,E2023,EA7 EMPORIO ARMANI MILAN
PAN,13500,78,16,32,10,24,16,19,7,25,32,15,8,19,2,2,17,19,83,7,E2023,PANATHINAIKOS ATHENS
OLY,13500,88,19,35,15,32,5,6,8,22,30,20,13,14,2,2,20,17,100,7,E2023,OLYMPIACOS PIRAEUS
BAS,12000,77,24,51,5,27,14,16,21,31,52,18,4,12,3,4,15,22,94,8,E2023,BASKONIA VITORIA-GASTEIZ
MAD,12000,79,13,29,15,39,8,12,9,28,37,19,7,9,4,3,23,15,82,8,E2023,REAL MADRID
PAM,12000,70,11,28,11,26,15,19,14,24,38,14,5,20,4,2,22,20,71,9,E2023,VALENCIA BASKET
MCO,12000,65,15,33,8,24,11,15,11,18,29,13,12,16,2,4,20,22,65,9,E2023,AS MONACO
BER,12000,86,23,39,8,28,16,17,10,21,31,19,12,16,2,2,19,17,93,10,E2023,ALBA BERLIN
BAS,12000,91,21,35,12,33,13,19,14,25,39,19,8,20,2,2,17,19,98,10,E2023,BASKONIA VITORIA-GASTEIZ
IST,12000,80,20,44,10,25,10,15,13,19,32,19,7,10,2,3,20,15,78,11,E2023,ANADOLU EFES ISTANBUL
MAD,12000,103,21,34,12,29,25,28,10,28,38,22,3,9,3,2,16,20,129,11,E2023,REAL MADRID
MIL,12000,90,22,34,12,30,10,15,10,17,27,25,7,18,1,2,23,20,92,12,E2023,EA7 EMPORIO ARMANI MILAN
TEL,12000,98,30,45,6,20,20,26,14,20,34,22,10,14,2,1,20,23,119,12,E2023,MACCABI PLAYTIKA TEL AVIV
PAN,12000,78,17,28,9,24,17,19,6,26,32,12,6,14,2,3,16,20,89,13,E2023,PANATHINAIKOS ATHENS
MUN,12000,71,23,44,6,27,7,7,14,20,34,11,7,10,3,2,20,16,68,13,E2023,FC BAYERN MUNICH
ASV,12000,62,19,39,4,27,12,12,14,21,35,9,4,14,0,6,17,19,49,14,E2023,LDLC ASVEL VILLEURBANNE
PAR,12000,88,28,41,4,19,20,21,8,28,36,18,11,10,6,0,19,16,117,14,E2023,PARTIZAN MOZZART BET BELGRADE
MCO,12000,59,17,42,4,22,13,25,17,18,35,9,4,8,1,1,19,27,52,15,E2023,AS MONACO
VIR,12000,83,13,30,16,31,9,13,15,31,46,18,4,14,1,1,27,19,93,15,E2023,VIRTUS SEGAFREDO BOLOGNA
OLY,12000,68,21,38,7,25,5,7,10,16,26,17,11,12,2,3,16,15,71,16,E2023,OLYMPIACOS PIRAEUS
BAR,12000,77,12,23,15,26,8,10,7,25,32,20,7,18,3,2,15,16,96,16,E2023,FC BARCELONA
PAM,12000,77,24,49,4,13,17,24,14,28,42,17,4,12,2,6,21,26,88,17,E2023,VALENCIA BASKET
ULK,12000,74,15,28,11,37,11,19,12,20,32,13,6,9,6,2,27,21,67,17,E2023,FENERBAHCE BEKO ISTANBUL
ZAL,12000,79,25,39,7,23,8,14,10,24,34,17,5,8,5,1,22,21,94,18,E2023,ZALGIRIS KAUNAS
RED,12000,74,20,46,6,23,16,20,20,21,41,13,3,10,1,5,21,22,71,18,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
IST,12000,89,22,30,9,24,18,22,7,27,34,20,7,16,2,3,20,19,105,19,E2023,ANADOLU EFES ISTANBUL
ASV,12000,84,18,35,10,27,18,21,7,17,24,15,6,13,3,2,19,20,81,19,E2023,LDLC ASVEL VILLEURBANNE
MIL,12000,65,16,27,8,24,9,11,7,22,29,14,7,14,0,2,21,16,65,20,E2023,EA7 EMPORIO ARMANI MILAN
OLY,12000,53,14,34,5,19,10,12,11,20,31,12,6,15,2,0,18,20,55,20,E2023,OLYMPIACOS PIRAEUS
ULK,12000,83,18,31,12,30,11,12,11,23,34,20,6,13,1,1,22,17,93,21,E2023,FENERBAHCE BEKO ISTANBUL
PAN,12000,69,19,32,7,23,10,19,10,18,28,11,5,13,1,1,17,22,67,21,E2023,PANATHINAIKOS ATHENS
PAR,12000,83,27,50,4,12,17,24,9,24,33,11,3,6,2,3,20,23,88,22,E2023,PARTIZAN MOZZART BET BELGRADE
BAR,12000,92,17,39,13,32,19,20,16,26,42,24,4,7,3,2,23,20,111,22,E2023,FC BARCELONA
MAD,12000,93,22,34,12,25,13,19,7,28,35,26,6,13,6,1,18,19,122,23,E2023,REAL MADRID
ZAL,12000,79,21,48,10,24,7,8,11,21,32,14,5,10,1,6,19,18,72,23,E2023,ZALGIRIS KAUNAS
BAS,12000,68,15,37,9,27,11,17,12,21,33,15,7,14,2,5,20,18,58,24,E2023,BASKONIA VITORIA-GASTEIZ
MUN,12000,76,20,30,8,34,12,15,14,29,43,17,7,13,5,2,18,20,96,24,E2023,FC BAYERN MUNICH
