"word","top_count","bottom_count","diff"
"data",62468,45743,16725
"project",44070,36914,7156
"design",32797,27555,5242
"management",83195,79069,4126
"cloud",11249,7363,3886
"analysis",19089,15789,3300
"marketing",23488,20245,3243
"engineering",28403,25603,2800
"sql",5507,2881,2626
"analytics",7215,4747,2468
"azure",4374,2429,1945
"agile",5472,3590,1882
"analyst",5403,3538,1865
"reporting",14867,13013,1854
"science",10759,8926,1833
"creative",7595,5929,1666
"python",3939,2306,1633
"database",5704,4228,1476
"java",2925,1491,1434
"aws",3987,2579,1408
"ai",4935,3632,1303
"excel",10241,9194,1047
"intelligence",3884,2885,999
"research",16528,15553,975
"finance",9613,8720,893
"javascript",1789,908,881
"deep",4510,3640,870
"optimization",2750,2058,692
"scrum",1495,817,678
"tableau",1106,553,553
"modeling",3209,2662,547
"etl",968,513,455
"visualization",1101,677,424
"statistics",1389,975,414
"ml",1132,832,300
"forecasting",1950,1698,252
"advertising",2091,1850,241
"powerbi",378,176,202
"spark",687,495,192
"presentation",4670,4483,187
"nlp",269,117,152
"artificial",774,627,147
"hadoop",259,129,130
"dashboard",329,246,83
"predictive",586,575,11
"purchasing",1787,1901,-114
"art",2349,2528,-179
"legal",9798,10085,-287
"learning",14723,15020,-297
"manufacturing",12325,12653,-328
"machine",4226,4726,-500
"distribution",4990,5493,-503
"administrative",7310,7896,-586
"communication",39099,39890,-791
"consulting",5147,6031,-884
"production",14563,16483,-1920
"education",32633,39886,-7253
"training",37984,47483,-9499
"sales",54434,64784,-10350
